version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
3135.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,8,0,0,0,0,0,0,0,96,0,0,0,0
3166.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,8,0,0,0,0,0,0,0,96,0,0,0,0
3196.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,8,0,0,0,0,0,0,0,96,0,0,0,0
3226.0,0,0,0,68,0,0,0,0,100,0,0,100,0,100,50,50,0,49,0,0,0,0,1,0,0,461,0,0,0,0
3256.0,0,0,0,73,0,0,0,0,100,0,0,100,0,100,50,50,0,49,0,0,0,0,1,0,0,486,0,0,0,0
3286.0,0,0,0,83,0,0,0,0,100,0,0,100,0,100,50,50,0,71,0,0,0,0,0,0,0,532,0,0,0,0
3316.0,0,0,0,83,0,0,0,0,100,0,0,100,0,100,50,50,0,71,0,0,0,0,0,0,0,532,0,1,0,0
3346.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,27,100,0,0,0,0,0,0,0,595,0,0,1,0
3375.0,0,0,0,97,0,0,0,0,100,0,0,100,0,100,50,50,4,27,0,0,0,0,0,0,0,604,0,0,0,0
3406.0,0,0,0,97,0,0,0,0,100,0,0,100,0,100,50,50,4,27,0,0,0,0,0,0,0,604,0,0,0,0
3436.0,0,0,0,97,0,0,0,0,100,0,0,100,0,100,50,50,4,27,0,0,0,0,0,0,0,604,0,0,0,0
3466.0,0,0,0,100,0,0,0,0,100,0,0,100,0,100,50,50,0,43,0,0,0,0,0,1,0,620,1,0,0,0
3496.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,51,0,0,0,0,0,0,0,592,1,0,0,0
3525.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,51,0,0,0,0,0,0,0,592,0,0,0,0
3556.0,0,0,0,63,0,0,0,0,100,0,0,100,0,100,50,50,7,34,0,0,0,0,1,0,2,434,0,0,0,0
3585.0,0,0,0,63,0,0,0,0,100,0,0,100,0,100,50,50,7,34,0,0,0,0,1,0,2,434,0,0,0,0
3616.0,0,0,0,63,0,0,0,0,100,0,0,100,0,100,50,50,7,34,0,0,0,0,1,0,2,434,0,1,0,0
3646.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,2,0,0,0,0,0,0,0,54,0,0,0,1
3675.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,2,2,0,21,0,0,0,0
3706.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,13,0,0,0,3
3736.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,9,0,0,0,3
3766.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,9,0,0,0,3
3796.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,5,0,0,0,52
3825.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,27,0,0,0,2,3,0,0,0,102
3855.0,0,0,0,0,0,0,0,1,33,67,0,100,50,50,0,100,0,0,0,57,0,0,0,0,2,3,0,0,0,130
3885.0,0,0,0,0,0,0,0,1,33,67,0,100,50,50,0,100,0,0,0,57,0,0,1,0,0,5,0,0,0,131
3916.0,0,0,0,0,0,0,0,21,0,100,0,100,50,50,0,100,0,0,0,0,117,0,1,0,0,3,0,0,0,229
3945.0,0,0,0,0,0,0,0,45,0,100,0,100,50,50,0,100,0,0,0,0,65,0,1,0,0,3,0,2,0,354
3975.0,0,0,0,0,0,0,0,64,0,100,0,100,50,50,0,100,0,0,0,0,70,0,1,0,0,3,0,0,0,450
4006.0,0,0,0,0,0,0,0,65,0,100,0,100,50,50,0,100,0,7,0,0,70,0,2,0,0,4,0,0,0,456
4036.0,0,0,0,0,0,0,0,65,0,100,0,100,50,50,0,100,0,0,0,0,70,0,0,0,0,1,0,0,0,457
4066.0,0,0,0,0,0,0,0,65,0,100,0,100,50,50,0,100,0,0,0,0,70,0,0,0,0,1,0,0,0,457
4096.0,0,0,0,0,0,0,0,79,0,100,0,100,50,50,0,100,0,0,0,48,28,0,0,0,0,1,0,0,0,524
4125.0,0,0,0,0,0,0,0,79,0,100,0,100,50,50,0,100,0,0,0,0,77,0,0,0,0,4,0,0,0,524
4156.0,0,0,0,0,0,0,0,75,0,100,0,100,50,50,0,100,0,0,0,0,173,0,0,0,0,4,0,0,0,508
4186.0,0,0,0,0,0,0,0,75,0,100,0,100,50,50,0,100,0,0,0,0,173,0,0,0,0,4,0,0,0,508
4216.0,0,0,0,0,0,0,0,75,0,100,0,100,50,50,0,100,0,0,0,0,173,0,0,0,0,4,0,0,0,508
4246.0,0,0,0,0,0,0,0,34,0,100,0,100,50,50,0,100,0,0,0,0,214,0,0,0,0,4,0,0,0,297
4275.0,0,0,0,0,0,0,0,34,0,100,0,100,50,50,0,100,0,0,0,0,214,0,0,0,0,4,0,0,0,297
4306.0,0,0,0,0,0,0,0,34,0,100,0,100,50,50,0,100,0,12,0,0,214,0,0,0,0,0,0,0,0,297
4336.0,0,0,0,0,0,0,0,34,0,100,0,100,50,50,0,100,0,12,0,0,214,0,0,0,0,0,0,0,0,297
4366.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,15,0,0,91,0,0,0,0,0,0,0,0,39
4396.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,2,0,0,59,0,0,0,0,0,0,0,0,29
4425.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,3,0,0,0,0,0,0,0,5,0,1,0,20
4456.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,3,0,0,0,0,0,0,0,5,0,1,0,20
4486.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,44,0,0,0,4
4515.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,1,2,0,56,0,0,0,2
4546.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,86,0,0,0,0
4575.0,0,0,0,12,0,0,0,0,100,0,0,100,0,100,50,50,0,32,0,0,0,0,0,0,0,182,0,0,0,0
4606.0,0,0,0,13,0,0,0,0,100,0,0,100,0,100,50,50,0,32,0,0,0,0,0,0,0,188,0,0,0,0
4636.0,0,0,0,32,0,0,0,0,100,0,0,100,0,100,50,50,0,89,0,0,0,0,0,0,0,281,0,0,0,0
4666.0,0,0,0,47,0,0,0,0,100,0,0,100,0,100,50,50,0,60,0,0,0,0,0,0,0,357,0,0,0,0
