version
10
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
3530,0,0,0,0,19,1,52,75,0,100,44,56,50,50,44,56,0,0,0,0,0,0,39.0,0.0,46.0,0.0,241.0,129.0,445.0,466.0
3563,0,0,0,0,19,2,52,75,0,100,44,56,50,50,44,56,0,0,0,0,0,0,36.0,0.0,46.0,0.0,243.0,133.0,449.0,467.0
3596,0,0,0,0,19,1,52,75,0,100,44,56,50,50,44,56,0,0,0,0,0,0,34.0,0.0,44.0,0.0,244.0,132.0,448.0,467.0
3629,0,0,0,0,20,2,53,76,0,100,44,56,50,50,44,56,0,0,0,0,0,0,32.0,0.0,39.0,0.0,246.0,134.0,452.0,470.0
3662,0,0,0,0,20,1,52,76,0,100,44,56,50,50,44,56,0,0,0,0,0,0,29.0,0.0,36.0,0.0,245.0,132.0,446.0,471.0
3695,0,0,0,0,20,2,52,77,0,100,44,56,50,50,43,57,0,0,0,0,0,0,31.0,0.0,33.0,0.0,245.0,134.0,447.0,476.0
3728,0,0,0,0,19,1,50,78,0,100,43,57,50,50,42,58,0,0,0,0,0,0,30.0,0.0,36.0,0.0,244.0,130.0,437.0,483.0
3761,0,0,0,0,18,1,49,80,0,100,41,59,50,50,41,59,0,0,0,0,0,0,35.0,0.0,38.0,0.0,238.0,128.0,432.0,490.0
3794,0,0,0,0,18,1,49,81,0,100,41,59,50,50,40,60,0,0,0,0,0,0,40.0,0.0,40.0,0.0,235.0,127.0,427.0,496.0
3827,0,0,0,0,17,0,47,81,0,100,40,60,50,50,40,60,0,0,0,0,0,0,48.0,0.0,56.0,0.0,230.0,125.0,419.0,498.0
3860,0,0,0,0,16,0,46,81,0,100,39,61,50,50,39,61,0,0,0,0,0,0,61.0,0.0,88.0,0.0,226.0,123.0,411.0,498.0
3893,0,0,0,0,15,0,44,80,0,100,38,62,50,50,38,62,0,0,0,0,0,0,73.0,0.0,121.0,0.0,219.0,120.0,398.0,491.0
3926,0,0,5,0,15,0,42,78,4,96,40,60,100,0,38,62,0,0,0,0,0,0,87.0,2.0,157.0,0.0,216.0,119.0,387.0,480.0
3959,0,0,11,0,14,0,39,74,8,92,42,58,100,0,37,63,0,0,0,0,0,0,100.0,4.0,194.0,0.0,211.0,117.0,369.0,460.0
3992,0,0,16,0,13,0,36,66,12,88,45,55,100,0,38,62,0,0,0,0,0,0,108.0,5.0,220.0,0.0,203.0,113.0,351.0,420.0
4025,0,0,19,0,12,0,34,55,16,84,50,50,100,0,41,59,0,0,0,0,0,0,111.0,3.0,244.0,11.0,199.0,112.0,334.0,366.0
4058,0,0,24,0,11,0,31,39,22,78,58,42,100,0,46,54,0,0,0,0,0,0,110.0,3.0,270.0,56.0,189.0,110.0,315.0,289.0
4091,0,0,28,19,9,0,28,20,44,56,57,43,54,46,60,40,0,0,0,0,0,0,113.0,2.0,297.0,189.0,182.0,108.0,299.0,194.0
4124,0,0,34,43,8,0,24,0,69,31,56,44,39,61,100,0,0,0,0,0,0,0,118.0,4.0,333.0,306.0,174.0,102.0,274.0,77.0
4157,0,0,40,59,5,0,16,0,81,19,47,53,36,64,100,0,0,0,0,0,0,0,126.0,3.0,374.0,389.0,156.0,89.0,226.0,5.0
4190,2,0,47,71,2,0,8,0,92,8,41,59,36,64,100,0,0,0,0,0,0,0,137.0,6.0,416.0,445.0,133.0,68.0,170.0,34.0
4223,5,0,53,78,0,0,0,0,100,0,38,62,38,62,50,50,0,0,0,0,0,0,154.0,6.0,455.0,480.0,107.0,45.0,119.0,30.0
4256,7,0,57,82,0,0,0,0,100,0,39,61,39,61,50,50,0,0,0,0,0,0,164.0,4.0,482.0,501.0,79.0,26.0,75.0,25.0
4289,8,0,61,85,0,0,0,0,100,0,40,60,40,60,50,50,0,0,0,0,0,0,173.0,4.0,503.0,515.0,56.0,9.0,54.0,18.0
4322,9,0,63,85,0,0,0,0,100,0,41,59,41,59,50,50,0,0,0,0,0,0,181.0,4.0,517.0,516.0,38.0,3.0,34.0,10.0
4355,10,0,65,84,0,0,0,0,100,0,42,58,42,58,50,50,0,0,0,0,0,0,186.0,5.0,529.0,510.0,27.0,0.0,22.0,2.0
4388,11,0,66,82,0,0,0,0,100,0,43,57,43,57,50,50,0,0,0,0,0,0,191.0,5.0,534.0,502.0,17.0,0.0,9.0,0.0
4421,11,0,66,81,0,0,0,0,100,0,44,56,44,56,50,50,0,0,0,0,0,0,192.0,5.0,538.0,495.0,10.0,0.0,4.0,0.0
4454,11,0,67,80,0,0,0,0,100,0,44,56,44,56,50,50,0,0,0,0,0,0,189.0,4.0,541.0,493.0,6.0,0.0,0.0,0.0
